Z      N      A       Binding_Energy_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Octupole_Moment_Q3_P_(fm^3)     Octupole_Moment_Q3_N_(fm^3)     Octupole_Moment_Q3_total_(fm^3)      Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Charge_Radius_(fm)     File_ID        Converged            
14     2      16            21.940484                  0.0                  0.0                    0.0                  1e-06                        0.0                          1e-06                         0.0                             0.0                                0.0                         1.737337                 0.74525              4.753277             2.118928               4.508955                4.83519             9              YES
26     36     62          -537.136849             0.141033             0.119074               0.127789               0.642496                   0.824332                       1.466828                         0.0                             0.0                                0.0                         0.954287                0.860918              3.726778             3.904246               3.830825               3.811839            33              YES
32     70     102            -745.086             0.268041             0.231462               0.241094               1.977107                   4.776553                        6.75366                         0.0                             0.0                                0.0                         0.838588                0.646387              4.274491              4.83407               4.665746               4.338122            45              YES
34     78     112         -795.269897             0.224943             0.176801               0.188975               1.858362                   4.315411                       6.173773                         0.0                             0.0                                0.0                         0.751223                0.634291              4.388682             4.980428               4.808495                4.44929            62              YES
36     32     68          -547.325096            -0.191419            -0.194909              -0.192999              -1.410984                  -1.188359                      -2.599344                         0.0                             0.0                                0.0                          0.72993                1.006194              4.028677              3.88623               3.962281               4.114492            73              YES
40     56     96          -830.587774              4.1e-05              6.3e-05                5.4e-05               0.000372                   0.000865                       0.001237                         0.0                             0.0                                0.0                         0.664483                0.751294              4.246446             4.410682               4.343005               4.321083            95              YES
40     58     98          -841.653877                4e-06             -2.4e-05               -1.3e-05                3.8e-05                  -0.000342                      -0.000303                         0.0                             0.0                                0.0                         0.798823                0.731362              4.264287             4.457895               4.379905               4.337948           110              YES
40     60     100          -851.10838            -0.000233            -0.000431              -0.000357              -0.002158                  -0.006625                      -0.008783                         0.0                             0.0                                0.0                         0.977885                0.714559              4.284302             4.505428               4.418305               4.356959           126              YES
42     58     100         -860.742912              6.8e-05              1.2e-05                3.4e-05               0.000665                   0.000169                       0.000833                         0.0                             0.0                                0.0                         0.830384                 0.77735              4.308136             4.460335               4.397053               4.381976           144              YES
42     74     116          -941.36302            -0.188063            -0.163441              -0.171623              -2.026729                  -3.539207                      -5.565936                         0.0                             0.0                                0.0                         0.846538                0.663532              4.509892             4.816161               4.707572               4.575649           158              YES
42     104    146         -975.151976            -0.006498            -0.000212              -0.001638              -0.075271                  -0.008374                      -0.083645                         0.0                             0.0                                0.0                         0.902484                0.579705              4.675537             5.484755               5.264726               4.730239           181              YES
52     58     110         -920.063779             0.168247             0.176976                0.17285               2.279491                    2.67459                       4.954081                         0.0                             0.0                                0.0                         0.781723                0.592849              4.544529             4.544667               4.544602               4.617927           204              YES
52     72     124        -1049.847849             0.165826             0.168349               0.167325               2.358186                   3.505118                       5.863304                         0.0                             0.0                                0.0                         0.835275                 0.54378              4.655927              4.78768               4.732875               4.724289           219              YES
54     54     108         -873.321073             0.185112             0.180797               0.182991               2.630585                   2.484713                       5.115298                         0.0                             0.0                                0.0                         0.544973                0.671813              4.567269             4.491496               4.529541                4.64175           237              YES
54     56     110         -898.879526             0.204346             0.204986               0.204668               2.929316                   2.980098                       5.909414                         0.0                             0.0                                0.0                          0.62783                0.655789              4.587202             4.536329               4.561374               4.660903           255              YES
54     58     112          -922.74715             0.226642             0.236438               0.231689                3.27981                   3.635755                       6.915565                         0.0                             0.0                                0.0                         0.695486                0.654919              4.608957             4.584261               4.596184               4.681857           272              YES
54     72     126        -1064.190013             0.219312             0.217649               0.218344               3.314563                   4.582566                        7.89713                         0.0                             0.0                                0.0                         0.701499                0.598961              4.710103             4.814539               4.770061               4.778313           289              YES
54     74     128        -1080.538674              0.18693             0.176371               0.180698               2.832948                   3.849469                       6.682417                         0.0                             0.0                                0.0                         0.724504                0.577129              4.716585             4.835217               4.785528               4.784252           306              YES
54     88     142        -1167.926812              0.15521             0.144272               0.148186               2.453799                   4.093204                       6.547003                         0.0                             0.0                                0.0                         0.635204                0.534337              4.817348              5.05527               4.966136               4.880537           319              YES
54     90     144        -1175.330823             0.185244             0.180466               0.182144               2.961023                   5.329879                       8.290902                         0.0                             0.0                                0.0                         0.689089                0.489246              4.843924             5.100171               5.005616               4.906332           336              YES
56     54     110         -869.467849             0.211514             0.201557                0.20674                3.19416                   2.804243                       5.998403                         0.0                             0.0                                0.0                          0.51824                0.758034              4.623384             4.519147                4.57251               4.697417           356              YES
56     56     112         -897.206387             0.231981             0.226922               0.229495               3.532748                   3.339554                       6.872302                         0.0                             0.0                                0.0                         0.589433                0.725015              4.642813              4.56412               4.603635               4.716101           374              YES
56     58     114         -923.129759             0.270827              0.27645               0.273657               4.173397                   4.316545                       8.489942                         0.0                             0.0                                0.0                         0.623123                0.712405              4.670355             4.619454               4.644527                4.74278           391              YES
56     86     142        -1179.931782              0.13645             0.117671               0.124737               2.249958                   3.216475                       5.466432                         0.0                             0.0                                0.0                         0.546042                0.671241              4.831167             5.019393               4.946018               4.895291           404              YES
56     88     144        -1189.122271             0.175683             0.160473               0.166089               2.929289                   4.571441                       7.500731                         0.0                             0.0                                0.0                         0.626086                0.602491              4.858109             5.065579               4.985922               4.921461           421              YES
56     90     146        -1198.038045             0.211088             0.199947               0.203986                3.56104                    5.93107                        9.49211                         0.0                             0.0                                0.0                         0.666105                0.566583              4.886613             5.111318               5.026318               4.949182           440              YES
58     54     112         -863.384969             0.240967             0.222227               0.232203               3.863465                    3.13031                       6.993774                         0.0                             0.0                                0.0                         0.512202                0.821273              4.681023             4.547194               4.616982               4.754564           458              YES
58     56     114          -893.11064             0.274239              0.25829               0.266591               4.441636                   3.854231                       8.295867                         0.0                             0.0                                0.0                          0.57094                0.766438               4.70476             4.595849               4.651579               4.777517           475              YES
58     86     144        -1197.324625             0.130765             0.113192               0.119996               2.263871                   3.101775                       5.365646                         0.0                             0.0                                0.0                         0.559515                0.727755              4.864189             5.025662               4.961256               4.928508           489              YES
58     88     146        -1207.670286             0.177408             0.162614               0.168237               3.107259                   4.645392                       7.752651                         0.0                             0.0                                0.0                         0.631574                 0.67871              4.892528             5.072657               5.001875               4.956075           506              YES
58     90     148        -1218.253586             0.256821             0.232028               0.241303               4.588513                   6.935126                      11.523639                         0.0                             0.0                                0.0                          0.60281                0.618848              4.941421             5.130753                 5.0574               5.003947           525              YES
60     86     146        -1212.575694             0.107424             0.096191               0.100658               1.947127                   2.640935                       4.588063                         0.0                             0.0                                0.0                          0.57644                0.767496              4.893449             5.030459                4.97461               4.957967           540              YES
60     88     148        -1223.904537             0.188589              0.17214               0.178568               3.470512                   4.939034                       8.409545                         0.0                             0.0                                0.0                         0.617633                0.752721              4.930688             5.083748               5.022259               4.994337           557              YES
60     136    196        -1365.714801            -0.063345            -0.067735              -0.066572              -1.326979                  -3.939413                      -5.266392                         0.0                             0.0                                0.0                         0.598751                0.499967              5.260728             5.822175               5.656226               5.311695           568              YES
