Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -30.074329              0.00135        0.0            654       YES            
22     44     66     -517.019254             0.082693       0.0            659       YES            
24     24     48     -409.194261             -0.039156      0.0            660       YES            
24     28     52     -458.646281             0.083445       0.0            666       YES            
26     46     72     -599.322418             0.154349       0.0            670       YES            
30     44     74     -642.735412             0.166993       0.0            674       YES            
30     46     76     -657.051259             0.144005       0.0            679       YES            
32     44     76     -662.297093             0.199645       0.0            683       YES            
32     46     78     -678.743609             0.168695       0.0            686       YES            
34     44     78     -678.642188             0.211368       0.0            691       YES            
34     52     86     -741.899011             0.113967       0.0            694       YES            
34     62     96     -782.800251             -0.233638      0.0            697       YES            
34     64     98     -788.874182             -0.234278      0.0            701       YES            
36     32     68     -547.270822             -0.161024      0.0            705       YES            
36     44     80     -692.504788             0.283191       0.0            710       YES            
36     52     88     -763.503937             0.083641       0.0            714       YES            
36     68     104    -835.111526             0.333161       0.0            718       YES            
38     34     72     -576.502533             0.405578       0.0            21        YES            
38     42     80     -683.151369             0.388598       0.0            722       YES            
38     44     82     -704.339767             0.32698        0.0            726       YES            
40     36     76     -607.01983              0.409174       0.0            42        YES            
40     42     82     -689.967311             0.383643       0.0            62        YES            
40     44     84     -713.247073             0.310266       0.0            730       YES            
40     58     98     -840.230354             0.335408       0.0            734       YES            
40     64     104    -877.822805             0.391014       0.0            82        YES            
40     66     106    -887.788891             0.384734       0.0            99        YES            
40     94     134    -961.352022             0.010748       0.0            738       YES            
40     96     136    -960.789702             -0.021152      0.0            741       YES            
40     98     138    -959.702109             -0.022633      0.0            745       YES            
40     100    140    -957.525432             -0.174761      0.0            749       YES            
40     102    142    -956.870777             -0.186755      0.0            753       YES            
42     36     78     -604.813155             0.374133       0.0            125       YES            
42     38     80     -637.090515             0.403696       0.0            147       YES            
42     42     84     -693.765236             0.336591       0.0            758       YES            
42     58     100    -858.530409             0.289316       0.0            762       YES            
42     64     106    -899.822986             0.360374       0.0            162       YES            
42     96     138    -1001.553163            -0.022689      0.0            765       YES            
42     98     140    -1000.980901            -0.188543      0.0            769       YES            
46     36     82     -595.245378             0.132632       0.0            774       YES            
52     56     108    -892.750365             0.134088       0.0            778       YES            
52     90     142    -1158.423199            0.120273       0.0            783       YES            
54     54     108    -867.564431             0.165012       0.0            786       YES            
54     56     110    -892.220029             0.192392       0.0            790       YES            
54     58     112    -915.623052             0.223968       0.0            794       YES            
54     86     140    -1163.290973            0.124065       0.0            799       YES            
54     88     142    -1172.008157            0.155073       0.0            803       YES            
54     90     144    -1180.292291            0.184648       0.0            807       YES            
54     92     146    -1188.390091            0.214922       0.0            811       YES            
54     94     148    -1196.321132            0.239308       0.0            815       YES            
54     96     150    -1203.948028            0.250497       0.0            819       YES            
56     52     108    -835.064623             0.149515       0.0            822       YES            
56     54     110    -863.082615             0.196075       0.0            826       YES            
56     56     112    -889.828253             0.223641       0.0            830       YES            
56     58     114    -915.485622             0.29966        0.0            834       YES            
56     66     122    -1008.632317            0.313189       0.0            838       YES            
56     84     140    -1168.805374            0.1032         0.0            843       YES            
56     86     142    -1179.996143            0.141938       0.0            847       YES            
56     88     144    -1190.344532            0.178219       0.0            851       YES            
56     90     146    -1200.313687            0.217131       0.0            855       YES            
56     92     148    -1210.451907            0.262105       0.0            859       YES            
56     94     150    -1219.946111            0.281867       0.0            863       YES            
