Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
106    216    322    -2165.314744            0.238071       0.0            4449      YES            
106    234    340    -2185.520614            0.199415       0.0            4464      YES            
106    236    342    -2186.426043            0.177018       0.0            4481      YES            
106    238    344    -2187.321792            0.157736       0.0            4498      YES            
106    240    346    -2188.280524            -0.157504      0.0            4510      YES            
106    242    348    -2189.415593            -0.147496      0.0            4527      YES            
106    260    366    -2192.910867            0.001301       0.0            4546      YES            
106    262    368    -2190.310843            0.005147       0.0            4563      YES            
106    264    370    -2188.25468             0.059368       0.0            4585      YES            
108    186    294    -2092.033537            0.0            0.0            4599      YES            
108    188    296    -2098.276017            -0.126456      0.0            4613      YES            
108    190    298    -2105.489787            -0.12726       0.0            4631      YES            
108    192    300    -2112.64921             0.138661       0.0            4651      YES            
108    194    302    -2118.76857             -0.202321      0.0            4662      YES            
108    196    304    -2125.206953            -0.298261      0.0            4677      YES            
108    198    306    -2131.759857            -0.295359      0.0            4695      YES            
108    212    320    -2178.220444            0.231876       0.0            4721      YES            
108    214    322    -2182.96381             0.231706       0.0            4738      YES            
108    216    324    -2187.441979            0.232072       0.0            4760      YES            
108    242    350    -2218.116855            0.134317       0.0            4774      YES            
108    262    370    -2222.599114            0.004027       0.0            4784      YES            
108    264    372    -2220.834345            -0.044485      0.0            4801      YES            
108    266    374    -2219.558813            0.07883        0.0            4823      YES            
108    268    376    -2218.710685            0.099168       0.0            4840      YES            
108    270    378    -2217.956714            0.115972       0.0            4857      YES            
108    272    380    -2217.541136            0.347231       0.0            4876      YES            
110    188    298    -2111.403217            -0.0           0.0            4888      YES            
110    190    300    -2119.062867            -0.123683      0.0            4902      YES            
110    192    302    -2126.499483            0.114532       0.0            4923      YES            
110    194    304    -2134.604419            0.148832       0.0            4940      YES            
110    196    306    -2140.616038            -0.339431      0.0            4948      YES            
110    198    308    -2147.555232            -0.308139      0.0            4966      YES            
110    200    310    -2154.395987            -0.301088      0.0            4984      YES            
110    214    324    -2202.931646            0.233867       0.0            5015      YES            
110    262    372    -2253.880898            0.002574       0.0            5022      YES            
110    264    374    -2252.407036            -0.039877      0.0            5039      YES            
110    266    376    -2251.346166            -0.057391      0.0            5056      YES            
110    268    378    -2250.66503             0.091267       0.0            5078      YES            
110    270    380    -2250.203498            0.107864       0.0            5095      YES            
110    276    386    -2248.870442            0.338519       0.0            5114      YES            
112    158    270    -1943.220668            0.233857       0.0            5129      YES            
112    188    300    -2123.530486            0.0            0.0            5143      YES            
112    190    302    -2131.444972            -0.065134      0.0            5159      YES            
112    192    304    -2139.390806            -0.121875      0.0            5174      YES            
112    194    306    -2147.637303            0.11973        0.0            5195      YES            
112    196    308    -2155.924337            0.138061       0.0            5212      YES            
112    198    310    -2161.835033            -0.23374       0.0            5223      YES            
112    200    312    -2169.087445            -0.245299      0.0            5240      YES            
112    214    326    -2221.482767            0.241622       0.0            5270      YES            
112    264    376    -2282.906338            -0.032952      0.0            5277      YES            
112    266    378    -2282.241967            -0.053206      0.0            5294      YES            
112    268    380    -2281.569612            0.080892       0.0            5316      YES            
112    270    382    -2281.369111            0.097111       0.0            5333      YES            
114    190    304    -2142.627898            -0.058479      0.0            5346      YES            
114    192    306    -2151.043548            -0.113711      0.0            5361      YES            
114    194    308    -2159.494078            0.098311       0.0            5382      YES            
114    196    310    -2168.203975            0.114195       0.0            5399      YES            
114    198    312    -2176.6372              0.127098       0.0            5416      YES            
114    240    354    -2294.5628              0.147716       0.0            5436      YES            
114    242    356    -2297.077716            0.134453       0.0            5453      YES            
114    244    358    -2299.407151            0.124045       0.0            5470      YES            
114    264    378    -2312.135802            -0.031333      0.0            5482      YES            
114    266    380    -2312.012972            -0.049692      0.0            5498      YES            
114    268    382    -2311.564967            -0.059273      0.0            5515      YES            
114    270    384    -2311.507838            0.08497        0.0            5537      YES            
114    272    386    -2311.49218             0.097366       0.0            5554      YES            
114    278    392    -2312.321584            0.280965       0.0            5569      YES            
116    162    278    -1974.973699            0.209109       0.0            5589      YES            
116    164    280    -1991.412621            0.200117       0.0            5605      YES            
116    168    284    -2021.043691            0.178533       0.0            5623      YES            
116    170    286    -2035.031545            0.160297       0.0            5640      YES            
116    190    306    -2152.265078            -0.057458      0.0            5652      YES            
116    192    308    -2161.369995            -0.104604      0.0            5667      YES            
116    194    310    -2170.191778            -0.108819      0.0            5684      YES            
116    196    312    -2179.234675            0.096744       0.0            5705      YES            
116    198    314    -2188.136056            0.10684        0.0            5722      YES            
116    214    330    -2254.026237            0.247535       0.0            5746      YES            
116    236    352    -2310.795202            0.170486       0.0            5759      YES            
116    240    356    -2316.98156             0.145042       0.0            5776      YES            
116    242    358    -2319.999057            0.12994        0.0            5793      YES            
116    264    380    -2340.060969            -0.028849      0.0            5805      YES            
116    266    382    -2340.416697            -0.048082      0.0            5821      YES            
116    268    384    -2340.422913            -0.057181      0.0            5838      YES            
116    270    386    -2340.520097            0.074405       0.0            5860      YES            
116    272    388    -2342.18384             0.349995       0.0            5878      YES            
116    280    396    -2342.589951            0.282771       0.0            5892      YES            
116    282    398    -2342.364332            0.276369       0.0            5909      YES            
116    292    408    -2340.451142            0.225873       0.0            5929      YES            
116    298    414    -2337.25118             0.226569       0.0            5946      YES            
116    300    416    -2335.760581            0.226475       0.0            5963      YES            
118    162    280    -1972.156731            0.216125       0.0            5979      YES            
118    164    282    -1989.172563            0.203677       0.0            5996      YES            
118    166    284    -2005.017034            0.189625       0.0            6014      YES            
118    188    306    -2150.242325            -0.000138      0.0            6026      YES            
118    190    308    -2160.159497            -0.059035      0.0            6043      YES            
118    192    310    -2170.085487            -0.107254      0.0            6059      YES            
118    194    312    -2179.52351             -0.111093      0.0            6076      YES            
118    196    314    -2188.616878            0.084836       0.0            6096      YES            
118    198    316    -2198.090936            0.093904       0.0            6113      YES            
118    200    318    -2207.29637             0.099791       0.0            6130      YES            
118    204    322    -2227.765872            0.294913       0.0            6153      YES            
118    210    328    -2252.687463            0.259555       0.0            6171      YES            
118    212    330    -2260.51209             0.251373       0.0            6188      YES            
118    238    356    -2333.755376            0.16118        0.0            6201      YES            
118    264    382    -2366.413059            -0.02779       0.0            6213      YES            
118    266    384    -2367.258725            -0.047587      0.0            6229      YES            
118    268    386    -2367.730281            -0.057064      0.0            6246      YES            
118    270    388    -2368.077903            -0.062953      0.0            6263      YES            
118    272    390    -2369.743935            0.33682        0.0            6290      YES            
118    274    392    -2370.537829            0.325128       0.0            6307      YES            
118    280    398    -2371.946862            0.288976       0.0            6320      YES            
118    282    400    -2372.066018            0.283625       0.0            6337      YES            
118    284    402    -2372.032811            0.275085       0.0            6351      YES            
118    288    406    -2371.803048            0.227244       0.0            6371      YES            
118    290    408    -2371.754269            0.224886       0.0            6388      YES            
118    292    410    -2371.541122            0.224205       0.0            6405      YES            
118    296    414    -2370.494712            0.223466       0.0            6422      YES            
118    298    416    -2369.599905            0.223144       0.0            6439      YES            
118    300    418    -2368.496865            0.222653       0.0            6456      YES            
120    188    308    -2155.990047            -0.181103      0.0            6464      YES            
120    190    310    -2166.842417            -0.186089      0.0            6481      YES            
120    192    312    -2177.287801            -0.189874      0.0            6498      YES            
120    194    314    -2187.388686            -0.193204      0.0            6515      YES            
120    196    316    -2197.178931            -0.196157      0.0            6532      YES            
120    198    318    -2206.680874            -0.199823      0.0            6548      YES            
120    200    320    -2215.916853            -0.20226       0.0            6565      YES            
120    208    328    -2255.805876            0.276668       0.0            6596      YES            
120    210    330    -2264.368599            0.263708       0.0            6613      YES            
120    262    382    -2390.807089            -0.000729      0.0            6625      YES            
120    264    384    -2391.270464            -0.005271      0.0            6641      YES            
120    266    386    -2392.490596            -0.048164      0.0            6654      YES            
120    268    388    -2393.32732             -0.063192      0.0            6669      YES            
120    270    390    -2394.881542            0.342268       0.0            6698      YES            
120    272    392    -2396.21922             0.327506       0.0            6715      YES            
120    274    394    -2397.401156            0.318148       0.0            6732      YES            
120    282    402    -2400.507302            0.284989       0.0            6745      YES            
120    284    404    -2400.860428            0.279192       0.0            6762      YES            
120    286    406    -2401.029658            0.271425       0.0            6779      YES            
120    288    408    -2401.033376            0.237233       0.0            6796      YES            
120    290    410    -2401.30878             0.224155       0.0            6813      YES            
120    298    418    -2400.751921            0.21862        0.0            6830      YES            
